System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Source,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Training objective,Training cost (2020 USD)
Mitosis,Vision,,IDSIA,Academia,"Dan C. Cireşan, Alessandro Giusti, Luca M. Gambardella, Jürgen Schmidhuber",22/09/2013,2013,Mitosis Detection in Breast Cancer Histology Images with Deep Neural Networks,https://link.springer.com/chapter/10.1007/978-3-642-40763-5_51,1.46E+03,ICPR 2012 mitosis detection competition winner,,3.72E+04,1.4E+17,,1.00E+06,,,,,,,,
Word2Vec (large),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,,6.92E+09,3.9E+16,,6.92E+05,,,,,,,Predict nearby words,
Word2Vec (small),Language,Semantic embedding,Google,Industry,"T Mikolov, I Sutskever, K Chen, GS Corrado",16/10/2013,2013,Distributed Representations of Words and Phrases and their Compositionality,https://arxiv.org/abs/1310.4546,2.87E+04,Highly cited,,2.08E+08,,,6.92E+05,,,,,,,,
R-CNN (T-net),Vision,Object detection,UC Berkeley,Academia,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",11/11/2013,2013,Rich feature hierarchies for accurate object detection and semantic segmentation,https://arxiv.org/abs/1311.2524,1.91E+04,Highly cited,OpenAI,6.90E+07,,,,,,,,,,,
Visualizing CNNs,Vision,,NYU,Academia,"MD Zeiler, R Fergus",12/11/2013,2013,Visualizing and Understanding Convolutional Networks,https://arxiv.org/abs/1311.2901,1.30E+04,Highly cited,,,5.3E+17,,,,,,,,,Predict nearby words,
TransE,Other,Entity embedding,"CNRS, Google",Industry - Academia Collaboration,"Antoine Bordes, Nicolas Usunier, Alberto Garcia- Duran, Jason Weston, and Oksana Yakhnenko",05/12/2013,2013,Translating Embeddings for Modeling Multi- relational Data,https://papers.nips.cc/paper/2013/file/1cecc7a77928ca8133fa24680a88d2f9-Paper.pdf,4.00E+03,,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,,1.3E+18,,1.70E+07,,,,,,,,
DBLSTM,Speech,Speech recognition,Univeristy of Toronto,Academia,"A Graves, N Jaitly, A Mohamed",08/12/2013,2013,Hybrid speech recognition with Deep Bidirectional LSTM,https://ieeexplore.ieee.org/document/6707742,1.46E+03,Highly cited,,2.99E+07,,,,,,,,,,,
Network in Network,,,National University of Singapore,Academia,"M Lin, Q Chen, S Yan",16/12/2013,2013,Network In Network,https://arxiv.org/abs/1312.4400,5.50E+03,Highly cited,,,,,,,,,,,,,
Variational Autoencoders,,,Univeristy of Amsterdam,Academia,"DP Kingma, M Welling",20/12/2013,2013,Auto-Encoding Variational Bayes,https://arxiv.org/abs/1312.6114,1.56E+04,Highly cited,,,4.8E+14,MNIST,6.00E+04,,,,,,,,
,Vision,Image classification,New York University,Academia,"Pierre Sermanet, David Eigen, Xiang Zhang, Michael Mathieu, Rob Fergus, Yann LeCun",21/12/2013,2013,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",https://arxiv.org/abs/1312.6229,5.15E+03,Highly cited,,,,,,,,,,,,,
NTM,,,Google DeepMind,Industry,"Alex Graves, Greg Wayne, Ivo Danihelka",2014,2014,Neural Turing Machines,https://arxiv.org/abs/1410.5401,1.93E+03,Highly cited,,,,,,,,,,,,,
,,,University of Toronto,Academia,,2014,2014,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,https://jmlr.org/papers/v15/srivastava14a.html,3.19E+04,Highly cited,,,,,,,,,,,,,
SmooCT,Games,,University College London,Academia,,2014,2014,Self-Play Monte-Carlo Tree Search in Computer Poker,https://www.aaai.org/ocs/index.php/WS/AAAIW14/paper/viewFile/8811/8351,1.60E+01,SOTA improvement,,,,,,,,,,,,,
Multiresolution CNN,Video,Video classification,"Stanford, Google",Industry - Academia Collaboration,"A Karpathy, G Toderici, S Shetty, T Leung",2014,2014,Large-Scale Video Classification with Convolutional Neural Networks,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/42455.pdf,5.90E+03,Highly cited,,1.26E+08,,,,,,,,,,,
GloVe (6B),Language,Semantic embedding,Stanford,Academia,"J Pennington, R Socher, CD Manning",01/01/2014,2014,GloVe: Global Vectors for Word Representation,https://nlp.stanford.edu/projects/glove/,2.25E+04,Highly cited,PwC,1.20E+08,,Gigaword5 + Wikipedia2014,6.00E+09,,N/A,12.1875,0,35,,,
GloVe (32B),Language,Semantic embedding,Stanford,Academia,"J Pennington, R Socher, CD Manning",01/01/2014,2014,GloVe: Global Vectors for Word Representation,https://nlp.stanford.edu/projects/glove/,2.25E+04,Highly cited,PwC,1.20E+08,,Common Crawl,4.20E+10,,N/A,12.1875,0,35,,,
DBNs,Language,Text classification,"Microsoft, University of Toronto",Industry - Academia Collaboration,"R Sarikaya, GE Hinton, A Deoras",11/02/2014,2014,Application of Deep Belief Networks for Natural Language Understanding,http://www.cs.utoronto.ca/~hinton/absps/ruhijournal.pdf,4.45E+02,,,1.02E+06,,,1.78E+05,3,,,,,,,
HyperNEAT,Games,Atari Games,University of Texas,Academia,"M Hausknecht, J Lehman",05/03/2014,2014,A Neuroevolution Approach to General Atari Game Playing,https://ieeexplore.ieee.org/abstract/document/6756960,1.95E+02,,,2.40E+05,,,,,,,,,,,
GRUs,Language,,"University of Montreal, Jacobs University, University du Maine",Academia,"K Cho, B Van Merriënboer, C Gulcehre",03/06/2014,2014,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,https://arxiv.org/abs/1406.1078,1.50E+04,Highly cited,,,,,,,,,,,,,
,Video,Video classification,University of Oxford,Academia,"Karen Simonyan, Andrew Zisserman",09/06/2014,2014,Two-Stream Convolutional Networks for Action Recognition in Videos,https://arxiv.org/abs/1406.2199,6.22E+03,Highly cited,OpenAI,,,,,,,,,,,,
GANs,Drawing,Image generation,Universite de Montréal,Academia,"Ian J. Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio",10/06/2014,2014,Generative Adversarial Networks,https://arxiv.org/abs/1406.2661,3.69E+04,Highly cited,PwC,,5.2E+17,CIFAR-10,6.00E+04,,,,,,,,
SPPNet,Vision,Image classification,"Microsoft, Xi’an Jiaotong University, University of Science and Technology of China",Industry - Academia Collaboration,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",18/06/2014,2014,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,https://arxiv.org/abs/1406.4729,7.41E+03,Highly cited,,,6.1E+18,Imagenet-1k,1.28E+06,,,,,,,,
,Vision,Face verification,"Tel Aviv University, Facebook",Industry - Academia Collaboration,"Y Taigman, M Yang, MA Ranzato",23/06/2014,2014,DeepFace: Closing the Gap to Human-Level Performance in Face Verification,https://ieeexplore.ieee.org/document/6909616,5.74E+03,Highly cited,OpenAI,,,,,,,,,,,,
,,,Facebook,Industry,"X He, J Pan, O Jin, T Xu, B Liu, T Xu, Y Shi",24/08/2014,2014,Practical Lessons from Predicting Clicks on Ads at Facebook,https://research.fb.com/wp-content/uploads/2016/11/practical-lessons-from-predicting-clicks-on-ads-at-facebook.pdf,5.86E+02,,,,,,,,,,,,,,
RNNsearch-50*,Language,Translation,"Universite de Montréal, Jacobs University Bremen",Academia,"D Bahdanau, K Cho, Y Bengio",01/09/2014,2014,Neural Machine Translation by Jointly Learning to Align and Translate,https://arxiv.org/abs/1409.0473,1.92E+04,Highly cited,,,1.6E+18,WMT'14 + selection,3.84E+08,,,,,,,,
VGG16,Vision,,University of Oxford,Academia,Karen Simonyan; Andrew Zisserman,04/09/2014,2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://arxiv.org/abs/1409.1556,6.13E+04,Highly cited,,1.38E+08,8.5E+18,ILSVRC-2012,1.30E+06,16,1.53E+10,,,,,,
VGG19,Vision,,University of Oxford,Academia,"K Simonyan, A Zisserman",04/09/2014,2014,Very Deep Convolutional Networks for Large-Scale Image Recognition,https://arxiv.org/abs/1409.1556,6.13E+04,Highly cited,OpenAI,1.44E+08,,ILSVRC-2012,1.30E+06,19,1.96E+10,,,,,,
Seq2Seq,Language,Translation,Google,Industry,"I Sutskever, O Vinyals, QV Le",10/09/2014,2014,Sequence to Sequence Learning with Neural Networks,https://arxiv.org/abs/1409.3215,1.57E+04,Highly cited,,3.84E+08,7.3E+18,WMT'14 dataset,3.84E+08,,,,,,,,
LRCN,Vision,Video description,"UT Austin, UMass Lowell, UC Berkeley",Academia,"Jeff Donahue, Lisa Anne Hendricks, Marcus Rohrbach, Subhashini Venugopalan, Sergio Guadarrama, Kate Saenko, Trevor Darrell",07/11/2014,2014,Long-term Recurrent Convolutional Networks for Visual Recognition and Description,https://arxiv.org/abs/1411.4389,5.22E+03,Highly cited,,1.43E+08,,TaCoS,4.00E+04,,,,,,Reinforcement learning,,
,Vision,Image segmentation,"University of California, Berkeley",Academia,"J Long, E Shelhamer, T Darrell",14/11/2014,2014,Fully Convolutional Networks for Semantic Segmentation,https://arxiv.org/abs/1411.4038,2.47E+04,Highly cited,,,,,,,,,,,,,
,Vision,,The Chinese University of Hong Kong,Academia,"Z Liu, P Luo, X Wang, X Tang",28/11/2014,2014,Deep Learning Face Attributes in the Wild,https://arxiv.org/abs/1411.7766,4.01E+03,Highly cited,,,,,,,,,,,,,
ADAM (CIFAR-10),Vision,Image classification,"University of Amsterdam, OpenAI, University of Toronto",Industry - Academia Collaboration,"DP Kingma, J Ba",22/12/2014,2014,Adam: A Method for Stochastic Optimization,https://arxiv.org/abs/1412.6980,8.11E+04,Highly cited,,,6.0E+16,,,,,,,,,,
DeepLab,Vision,Image segmentation,"Google, University of California Los Angeles",Industry - Academia Collaboration,"Liang-Chieh Chen, George Papandreou, Iasonas Kokkinos, Kevin Murphy, Alan L. Yuille",22/12/2014,2014,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs,https://arxiv.org/abs/1412.7062,3.70E+03,Highly cited,,,,,,,,,,,,,
"MSRA (C, PReLU)",Vision,Image classification,Microsoft research,Industry,Kaiming He Xiangyu Zhang Shaoqing Ren Jian Sun,06/02/2015,2015,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,https://arxiv.org/pdf/1502.01852v1.pdf,1.41E+04,Highly cited,PwC,8.70E+07,2.4E+19,Imagenet-1k,1.28E+06,,,,,,,,
,Vision,Image segmentation,"University of Oxford, Stanford University, Baidu",Industry - Academia Collaboration,"Shuai Zheng, Sadeep Jayasumana, Bernardino Romera-Paredes, Vibhav Vineet, Zhizhong Su, Dalong Du, Chang Huang, Philip H. S. Torr",11/02/2015,2015,Conditional Random Fields as Recurrent Neural Networks,https://arxiv.org/abs/1502.03240,2.66E+03,Highly cited,PwC,,,,,,,,,,,,
DQN-2015,Games,Atari Games,Google,Industry,"V Mnih, K Kavukcuoglu, D Silver, AA Rusu, J Veness",25/02/2015,2015,Human-level control through deep reinforcement learning,https://www.nature.com/articles/nature14236,1.57E+04,Highly cited,PwC,1.62E+06,,,,,,,,,,,
Constituency-Tree LSTM,Language,Semantic embedding,"Stanford, MetaMind Inc",Industry - Academia Collaboration,"KS Tai, R Socher, CD Manning",28/02/2015,2015,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,https://arxiv.org/abs/1503.00075,2.62E+03,Highly cited,,2.05E+05,,,,,,,,,,,
Fast R-CNN,Vision,Object detection,Microsoft Research,Industry,R Girshick,30/04/2015,2015,Fast R-CNN,https://arxiv.org/abs/1504.08083,1.58E+04,Highly cited,OpenAI,,,,,,,,,,,,
,Vision,Video,"University of Maryland, University of Texas, Google Inc.",Industry - Academia Collaboration,"Joe Yue-Hei Ng, Matthew Hausknecht, Sudheendra Vijayanarasimhan, Oriol Vinyals, Rajat Monga, George Toderici",01/05/2015,2015,Beyond Short Snippets: Deep Networks for Video Classification,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Ng_Beyond_Short_Snippets_2015_CVPR_paper.html,2.26E+03,Highly cited,,,,,,,,,,,,,
DSN,VIsion,Image classification,"University of California, Microsoft Research",Industry - Academia Collaboration (Academia leaning),"Chen-Yu Lee, Saining Xie, Patrick Gallagher, Zhengyou Zhang, Zhuowen Tu",09/05/2015,2015,Deeply-Supervised Nets,http://proceedings.mlr.press/v38/lee15a.html,1.94E+03,Highly cited,,,,,,,,,,,,,
,Vision,Action recognition,"Chinese University of Hong Kong, Chinese Academy of Sciences",Academia,"Limin Wang, Yu Qiao, Xiaoou Tang",01/06/2015,2015,Action Recognition with Trajectory-Pooled Deep-Convolutional Descriptors,https://www.cv-foundation.org/openaccess/content_cvpr_2015/html/Wang_Action_Recognition_With_2015_CVPR_paper.html,3.47E+03,Highly cited,,,,,,,,,,,,,
Faster R-CNN,Vision,Object detection,Microsoft Research,Industry,"S Ren, K He, R Girshick, J Sun",04/06/2015,2015,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,https://arxiv.org/abs/1506.01497,2.30E+04,Highly cited,,,,,,,,,,,,,
GoogLeNet / InceptionV1,Vision,Image classification,"Google, University of Michigan, University of North Carolina",Industry - Academia Collaboration (Industry leaning),"Christian Szegedy, Wei Liu, Yangqing Jia, Pierre Sermanet, Scott Reed, Dragomir Anguelov, Dumitru Erhan, Vincent Vanhoucke, Andrew Rabinovich",07/06/2015,2015,Going deeper with convolutions,https://ieeexplore.ieee.org/document/7298594,3.28E+04,Highly cited,PwC,6.80E+06,1.6E+18,ILSVRC 2014,1.20E+06,22,,,,,,,
YOLO,Vision,Object detection,University of Washington,Industry - Academia Collaboration,"J Redmon, S Divvala, R Girshick",08/06/2015,2015,"You Only Look Once: Unified, Real-Time Object Detection",https://arxiv.org/abs/1506.02640,1.75E+04,Highly cited,,6.45E+07,,,,,,,,,,,
BatchNorm,,,Google,Industry,"S Ioffe, C Szegedy",15/06/2015,2015,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,https://arxiv.org/abs/1502.03167,2.92E+04,Highly cited,,,,,,,,,,,,,
,,,"Google, Carnegie Mellon University",Industry - Academia Collaboration,"William Chan, Navdeep Jaitly, Quoc Le, and Oriol Vinyals",20/08/2015,2015,"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",https://arxiv.org/pdf/1508.01211.pdf,1.62E+03,,The Computational Limits of Deep Learning,,,,,,,,,,,,
BPE,Language,Translation,University of Edinburgh,Academia,"R Sennrich, B Haddow, A Birch",31/08/2015,2015,Neural Machine Translation of Rare Words with Subword Units,https://arxiv.org/abs/1508.07909,4.06E+03,Highly cited,,,,WMT'15,,,,,,,,,
AlphaGo Fan,Games,Go,Google DeepMind,Industry,"TP Lillicrap, JJ Hunt, A Pritzel, N Heess, T Erez",09/09/2015,2015,Continuous control with deep reinforcement learning,https://arxiv.org/abs/1509.02971,6.35E+03,Highly cited,PwC,8.21E+06,3.8E+20,,,,,,,,,,
,,,Google DeepMind,Industry,"D Silver, A Huang, CJ Maddison, A Guez, L Sifre",01/10/2015,2015,Mastering the game of Go with deep neural networks and tree search,https://www.nature.com/articles/nature24270.epdf?author_access_token=VJXbVjaSHxFoctQQ4p2k4tRgN0jAjWel9jnR3ZoTv0PVW4gB86EEpGqTRDtpIz-2rmo8-KG06gqVobU5NSCFeHILHcVFUeMsbvwS-lxjqQGg98faovwjxeTUgZAUMnRQ,5.18E+03,SOTA improvement,,,,,,,,,,,,,
,,,Google DeepMind,Industry,"Z Wang, T Schaul, M Hessel",20/11/2015,2015,Dueling Network Architectures for Deep Reinforcement Learning,https://arxiv.org/abs/1511.06581,2.00E+03,Highly cited,,,,,,,,,,,,,
,Vision,Image segmentation,"Princeton University, Intel Labs",Industry - Academia Collaboration,"Fisher Yu, Vladlen Koltun",23/11/2015,2015,Multi-Scale Context Aggregation by Dilated Convolutions,https://arxiv.org/abs/1511.07122,5.84E+03,Highly cited,OpenAI,,,,,,,,,,,,
,Recommendation,,Netflix,Industry,"CA Gomez-Uribe, N Hunt",12/2015,2015,"The Netflix Recommender System: Algorithms, Business Value, and Innovation",https://dl.acm.org/doi/pdf/10.1145/2843948,1.09E+03,Highly cited,OpenAI,,,,,,,,,,,,
Inception v3,Vision,Image classification,"Google, University College London",Industry - Academia Collaboration (Industry leaning),"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jonathon Shlens, Zbigniew Wojna",02/12/2015,2015,Rethinking the inception architecture for computer vision.,https://arxiv.org/abs/1512.00567,1.47E+04,Highly cited,,2.36E+07,,ILSVRC 2012,1.20E+06,,1.15E+11,,,,,Score,
DeepSpeech2,Speech,,Baidu Research- Silicon Valley AI Lab,Industry,"D Amodei, S Ananthanarayanan",08/12/2015,2015,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,https://arxiv.org/abs/1512.02595,2.21E+03,Highly cited,,3.80E+07,2.6E+19,,1.19E+04,11,1.80E+09,,,,,,
ResNet-152 (ImageNet),Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",10/12/2015,2015,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385,8.58E+04,Highly cited,,6.00E+07,1.2E+19,ILSVRC 2012,1.20E+06,152,2.26E+10,,,138,,,
ResNet-110 (CIFAR-10),Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",10/12/2015,2015,Deep Residual Learning for Image Recognition,https://arxiv.org/abs/1512.03385,8.58E+04,Highly cited,,1.70E+06,,,,110,,,,,,,
BPL,Drawing,Image generation,"NYU, University of Toronto, MIT",Academia,"BM Lake, R Salakhutdinov, JB Tenenbaum",11/12/2015,2015,Human-level concept learning through probabilistic program induction,https://science.sciencemag.org/content/350/6266/1332/,2.01E+03,Highly cited,,,,,,,,,,,,,
Advantage Learning,Games,Atari Games,Google DeepMind,Industry,"MG Bellemare, G Ostrovski, A Guez",15/12/2015,2015,Increasing the Action Gap: New Operators for Reinforcement Learning,http://arxiv.org/abs/1512.04860v1,1.04E+02,SOTA improvement,PwC,,,,,,,,,,,,
,Vision,Image super-resolution,Seoul National University,Academia,"Jiwon Kim, Jung Kwon Lee, Kyoung Mu Lee",2016,2016,Deeply-Recursive Convolutional Network for Image Super-Resolution,https://openaccess.thecvf.com/content_cvpr_2016/html/Kim_Deeply-Recursive_Convolutional_Network_CVPR_2016_paper.html,1.97E+03,Highly cited,,,,,,,,,,,,,
AlphaGo Lee,Games,Go,DeepMind,Industry,"D Silver, A Huang, CJ Maddison, A Guez, L Sifre",27/01/2016,2016,Mastering the game of Go with deep neural networks and tree search,https://www.nature.com/articles/nature16961,1.08E+04,Highly cited,,,1.9E+21,,2.94E+07,,,,,,,,
,Vision,Pose estimation,"The Robotics Institute, Carnegie Mellon University",Academia,"Shih-En Wei, Varun Ramakrishna, Takeo Kanade, Yaser Sheikh",30/01/2016,2016,Convolutional Pose Machines,https://arxiv.org/abs/1602.00134,2.42E+03,Highly cited,,,,,,,,,,,,,
A3C FF hs,Games,Atari Games,"Google, University of Montreal",Industry - Academia Collaboration (Industry leaning),"V Mnih, AP Badia, M Mirza, A Graves",04/02/2016,2016,Asynchronous Methods for Deep Reinforcement Learning,http://arxiv.org/abs/1602.01783v2,5.28E+03,SOTA improvement,PwC,,,,,,,,,,,,
Inceptionv4,Vision,Image classification,Google,Industry,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",23/02/2016,2016,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://arxiv.org/abs/1602.07261,8.21E+03,Highly cited,PwC,4.30E+07,,,,,2.46E+10,,,,,,
Inception-ResNet-V2,Vision,Image classification,Google,Industry,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",23/02/2016,2016,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",https://arxiv.org/abs/1602.07261,8.21E+03,Highly cited,PwC,5.60E+07,,,,,2.64E+09,,,,,,
SqueezeNet,Vision,Image classification,"DeepScale, UC Berkeley, Stanford",Industry - Academia Collaboration,"Forrest N. Iandola, Song Han, Matthew W. Moskewicz, Khalid Ashraf, William J. Dally, Kurt Keutzer",24/02/2016,2016,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,https://arxiv.org/abs/1602.07360,4.40E+03,Highly cited,,0.00E+00,,,,,,,,,,,
,Vision,Image super-resolution,"Nanjing University, University of Adelaide",Academia,"Xiao-Jiao Mao, Chunhua Shen, Yu-Bin Yang",30/03/2016,2016,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections,https://arxiv.org/abs/1603.09056v2,1.18E+03,Highly cited,,,,,,,,,,,,,
,Vision,Video,"Graz University of Technology, University of Oxford",Academia,"Christoph Feichtenhofer, Axel Pinz, Andrew Zisserman",01/06/2016,2016,Convolutional Two-Stream Network Fusion for Video Action Recognition,https://openaccess.thecvf.com/content_cvpr_2016/html/Feichtenhofer_Convolutional_Two-Stream_Network_CVPR_2016_paper.html,2.28E+03,Highly cited,,,,,,,,,,,,,
DMN,Language,,Salesforce,Industry,"Ankit Kumar, Ozan Irsoy, Peter Ondruska, Mohit Iyyer, James Bradbury, Ishaan Gulrajani, Victor Zhong, Romain Paulus, Richard Socher",20/06/2016,2016,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,http://proceedings.mlr.press/v48/kumar16.html,1.19E+03,Highly cited,,,,,,,,,,,,,
R-FCN,Vision,Object detection,"Microsoft research, Tsinghua university",Industry - Academia Collaboration (Industry leaning),"Jifeng Dai, Y. Li, Kaiming He, and Jian Sun",21/06/2016,2016,R-fcn: Object detection via region-based fully convolutional networks.,https://arxiv.org/pdf/1605.06409.pdf,4.49E+03,,Dynamic Head: Unifying Object Detection Heads with Attentions,,6.1E+16,PASCAL VOC (2007 and 2012 vesrions) + MS COCO,9.44E+04,,,12.06567222,170,,,,
,Recommendation,,Google,Industry,"HT Cheng, L Koc, J Harmsen, T Shaked",24/06/2016,2016,Wide & Deep Learning for Recommender Systems,https://arxiv.org/abs/1606.07792,1.61E+03,Highly cited,PwC,,,,,,,,,,,,
,Language,,Facebook AI research,Industry,"A Joulin, E Grave, P Bojanowski, T Mikolov",06/07/2016,2016,Bag of Tricks for Efficient Text Classification,https://arxiv.org/abs/1607.01759,3.09E+03,Highly cited,,,,,,,,,,,,,
,Language,,Facebook AI research,Industry,"P Bojanowski, E Grave, A Joulin",15/07/2016,2016,Enriching Word Vectors with Subword Information,https://arxiv.org/abs/1607.04606,6.35E+03,Highly cited,,,,,,,,,,,,,
Part-of-sentence tagging model,Language,POS tagging,University of Toronto,Academia,"Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hin- ton",21/07/2016,2016,Layer Normalization.,https://arxiv.org/pdf/1607.06450.pdf,4.13E+03,Highly cited,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,,1.5E+17,,,,,12,,,,,
Named Entity Recognition model,Language,Named Entity Recognition model,University of Toronto,Academia,"Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hin- ton",21/07/2016,2016,Layer Normalization.,https://arxiv.org/pdf/1607.06450.pdf,4.13E+03,Highly cited,LUKE: Deep Contextualized Entity Representations with Entity-aware Self-attention,,9.7E+16,,,,,8,,,,,
DenseNet-264,Vision,Image classification,"Tsinghua University, Cornell, Facebook AI research",Industry - Academia Collaboration (Academia leaning),"G Huang, Z Liu, L Van Der Maaten",25/08/2016,2016,Densely Connected Convolutional Networks,https://arxiv.org/abs/1608.06993,1.78E+04,Highly cited,PwC,3.40E+07,,,,,,,,,,,
,Vision,Face detection,"Chinese Academy of Sciences, Chinese University of Hong Kong",Academia,"Kaipeng Zhang, Zhanpeng Zhang, Zhifeng Li, Yu Qiao",26/08/2016,2016,Joint Face Detection and Alignment using Multi-task Cascaded Convolutional Networks,https://ieeexplore.ieee.org/abstract/document/7553523,3.40E+03,Highly cited,PwC,,,,,,,,,,,,
,Speech,,Google DeepMind,Industry,"A Oord, S Dieleman, H Zen, K Simonyan",12/09/2016,2016,WaveNet: A Generative Model for Raw Audio,https://arxiv.org/abs/1609.03499,3.12E+03,Highly cited,PwC,,,,,,,,,,,,
,Recommendation,,Google,Industry,"Paul Covington, Jay Adams, and Emre Sargin",15/09/2016,2016,Deep Neural Networks for YouTube Recommendations,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/45530.pdf,1.55E+03,Highly cited,PwC,,,,,,,,,,,,
Stacked hourglass network,Vision,Pose estimation,University of Michigan,Academia,"Alejandro Newell, Kaiyu Yang, Jia Deng",17/09/2016,2016,Stacked Hourglass Networks for Human Pose Estimation,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_29,3.60E+03,Highly cited,PwC,,,,,,,,,,,,
,Vision,Image classification,Microsoft,Industry,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",17/09/2016,2016,Identity Mappings in Deep Residual Networks,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_38,6.89E+03,Highly cited,,,,,,,,,,,,,
,Vision,Action recognition,"ETH Zurich, The Chinese University of Hong Kong, Shenzhen Institute of Advanced Technology",Academia,"Limin Wang, Yuanjun Xiong, Zhe Wang, Yu Qiao, Dahua Lin, Xiaoou Tang, Luc Van Gool",17/09/2016,2016,Temporal Segment Networks: Towards Good Practices for Deep Action Recognition,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_2,2.62E+03,Highly cited,OpenAI,,,,,,,,,,,,
MS-CNN,Vision,Object detection,"SVCL UC San Diego, IBM",Industry - Academia Collaboration,"Zhaowei Cai, Quanfu Fan, Rogerio S. Feris, Nuno Vasconcelos",17/09/2016,2016,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_22,1.32E+03,Highly cited,,,,,,,,,,,,,
Wide Residual Network,Vision,Image classification,Université Paris-Est,Academia,"Sergey Zagoruyko, Nikos Komodakis",19/09/2016,2016,Wide Residual Networks,https://arxiv.org/abs/1605.07146,4.52E+03,Highly cited,OpenAI,,,,,,,,,,,,
GNMT,Language,Translation,Google,Industry,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean",26/09/2016,2016,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,https://research.google/pubs/pub45610/,4.50E+03,Highly cited,PwC,2.78E+08,6.9E+21,,3.60E+07,,,,,,,,
Xception,Vision,Image classification,Google,Industry,François Chollet,07/10/2016,2016,Xception: Deep Learning with Depthwise Separable Convolutions,https://arxiv.org/abs/1610.02357,5.84E+03,Highly cited,,2.29E+07,4.4E+19,JFT,3.50E+08,,1.68E+10,,,,,,
